symbol,target,Lvoice,Lfront,Lnas,Lback,Lround,Lcons,Lcont,Lcoronal,LATR,Ldist,Ldel. rel.,Lc.g.,Lapprox,Llabial,Lhigh,Lstrid,Lant,Ldorsal,Ls.g.,Lson,Llat,Lsyll,Llow,Rvoice,Rfront,Rnas,Rback,Rround,Rcons,Rcont,Rcoronal,RATR,Rdist,Rdel. rel.,Rc.g.,Rapprox,Rlabial,Rhigh,Rstrid,Rant,Rdorsal,Rs.g.,Rson,Rlat,Rsyll,Rlow
p o_o,1,+,-,-,+,+,-,+,-,+,0,0,-,+,+,-,0,0,+,-,+,-,+,-,+,-,-,+,+,-,+,-,+,0,0,-,+,+,-,0,0,+,-,+,-,+,-
k o_a,1,+,-,-,+,+,-,+,-,+,0,0,-,+,+,-,0,0,+,-,+,-,+,-,+,+,-,-,-,-,+,-,-,0,0,-,+,-,-,0,0,+,-,+,-,+,+
p o_i,1,+,-,-,+,+,-,+,-,+,0,0,-,+,+,-,0,0,+,-,+,-,+,-,+,+,-,-,-,-,+,-,+,0,0,-,+,-,+,0,0,+,-,+,-,+,-
k o_o,1,+,-,-,+,+,-,+,-,+,0,0,-,+,+,-,0,0,+,-,+,-,+,-,+,-,-,+,+,-,+,-,+,0,0,-,+,+,-,0,0,+,-,+,-,+,-
k #_o,0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,+,-,-,+,+,-,+,-,+,0,0,-,+,+,-,0,0,+,-,+,-,+,-
k #_a,0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,+,+,-,-,-,-,+,-,-,0,0,-,+,-,-,0,0,+,-,+,-,+,+
p #_o,0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,+,-,-,+,+,-,+,-,+,0,0,-,+,+,-,0,0,+,-,+,-,+,-
p #_i,0,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,+,+,-,-,-,-,+,-,+,0,0,-,+,-,+,0,0,+,-,+,-,+,-
