qori
coχlu
qomir
niŋri
moqo
hoqara
pʰulyu
yuyaŋ
tulyu
api
suti
uoɴqoy
cilwi
cʰiciŋ
cʰaɴqay
aɴqosay
qecuŋ
pisqo
musoχ
cuŋka
yaɴqaŋ
culyu
qhelya
qeɴqo
ceqaŋ
qaŋ
noqa
caxra
ceχniŋ
soχta
aχna
lyixlya
qosa
qara
alqo
seɴqa
karu
atoχ
qaŋkuna
pusaχ
teχway
caki
wateχ
aŋka
waχtay
haku
waqay
kaŋka
waxca
waleχ
tʰakay
reχsisqa
U,ŋ,ɴ
U,o,u
U,i,e
